ord,kategori,vikt
absolut,aggressiv,1.0
aggressivitet,aggressiv,2.0
agitation,aggressiv,1.5
akut,aggressiv,0.8
allvarlig,aggressiv,0.8
anarki,aggressiv,2.0
angrip,aggressiv,1.8
anklaga,aggressiv,1.0
armé,aggressiv,1.5
attackera,aggressiv,2.5
avvisa,aggressiv,0.8
barbarisk,aggressiv,2.5
besegra,aggressiv,1.5
bestraffa,aggressiv,1.5
bestämd,aggressiv,0.5
blockad,aggressiv,1.2
bojkotta,aggressiv,1.2
brutal,aggressiv,2.2
brådskande,aggressiv,0.8
bråk,aggressiv,1.0
demonisera,aggressiv,2.5
despotism,aggressiv,2.2
destruktiv,aggressiv,1.8
diktatur,aggressiv,2.5
disciplinera,aggressiv,0.8
dispyt,aggressiv,0.8
djupgående,aggressiv,0.8
dominans,aggressiv,1.5
dominant,aggressiv,1.5
dominera,aggressiv,1.5
egoism,aggressiv,1.2
envälde,aggressiv,1.5
erövra,aggressiv,1.8
farlig,aggressiv,1.5
fast,aggressiv,0.5
fiende,aggressiv,2.2
fientlig,aggressiv,1.8
fullständig,aggressiv,0.5
fälla,aggressiv,1.2
förakta,aggressiv,2.0
fördöm,aggressiv,1.5
förgöra,aggressiv,2.5
förkasta,aggressiv,1.0
förnedra,aggressiv,1.5
förstöra,aggressiv,2.0
förtryck,aggressiv,1.8
förödande,aggressiv,2.0
girighet,aggressiv,1.5
gräl,aggressiv,0.8
hat,aggressiv,2.5
hata,aggressiv,2.5
hegemoni,aggressiv,1.8
hets,aggressiv,2.0
hot,aggressiv,2.0
hota,aggressiv,2.0
hotfull,aggressiv,2.0
hämnd,aggressiv,2.0
hänsynslös,aggressiv,2.0
hån,aggressiv,1.5
hård,aggressiv,1.0
ilska,aggressiv,1.5
imperialism,aggressiv,2.0
intriger,aggressiv,1.5
intrång,aggressiv,1.2
invasion,aggressiv,2.5
isolera,aggressiv,1.0
kaos,aggressiv,1.8
klandra,aggressiv,1.0
kolonialism,aggressiv,2.0
kompromisslös,aggressiv,1.5
konflikt,aggressiv,1.5
konfrontera,aggressiv,1.2
kontrollera,aggressiv,1.0
korruption,aggressiv,1.2
krav,aggressiv,0.8
krig,aggressiv,2.5
kritik,aggressiv,1.0
kritisk,aggressiv,1.0
krossa,aggressiv,2.0
kränkning,aggressiv,1.2
kuva,aggressiv,1.8
kämpa,aggressiv,1.0
maktmissbruk,aggressiv,1.8
maktspråk,aggressiv,2.0
manipulera,aggressiv,1.5
militär,aggressiv,1.5
mobbning,aggressiv,1.8
motstånd,aggressiv,1.0
narcissism,aggressiv,1.5
obeveklig,aggressiv,1.5
ockupation,aggressiv,2.2
offensiv,aggressiv,1.5
oförsonlig,aggressiv,1.8
omedelbar,aggressiv,0.8
omfattande,aggressiv,0.5
omkullkasta,aggressiv,1.5
polarisation,aggressiv,1.5
propaganda,aggressiv,1.2
provocera,aggressiv,1.5
psykopat,aggressiv,2.5
raseri,aggressiv,2.0
revolt,aggressiv,1.5
