party,year,pattern,match,sentence,protocol_id,is_correct__fill_in
C,2002,maktens korridorer,maktens korridorer,"Vad som krävs är en politisk vilja och en insikt att se helheten. Denna vilja och insikt har uppenbarligen ännu inte slagit igenom i maktens korridorer, särskilt inte i de socialdemokratiska och moderata partiledningarna. Min förhoppning är att droppen så småningom urholkar stenen.",GQ0913,
C,2002,maktens korridorer,maktens korridorer,"Vad som krävs är en politisk vilja och en insikt att se helheten. Denna vilja och insikt har uppenbarligen ännu inte slagit igenom i maktens korridorer, särskilt inte i de socialdemokratiska och moderata partiledningarna. Min förhoppning är att droppen så småningom urholkar stenen.",GQ0913,
C,2003,maktens korridorer,maktens korridorer,"Skulle jag bryta benet på en träningsrunda och bli rullstolsbunden skulle jag inte längre kunna fungera i mitt riksdagsarbete. Den som är funktionshindrad och ska besöka maktens korridorer möter olika hinder, vilket vi tar upp i vår motion. Det händer ibland att Riksdagens handikappforum har seminarier i lokalen L4-17, och där saknas handikapptoalett utanför.",GR0941,
C,2005,maktens korridorer,maktens korridorer,Han känner inte igen det parti som han har varit trogen i många år. Han vill att regeringen ska lämna maktens korridorer och ge sig ut i verkligheten. En praovecka på landsbygden – varför inte i nordöstra Skåne eller västra Blekinge?,GS0976,
C,2005,politiska etablissemanget,politiska etablissemanget,Jag blir lite bekymrad över vice statsministerns svar där han förminskar den nya EU-konstitutionens betydelse. Liksom många andra i det politiska etablissemanget hävdar han att konstitutionen inte innebär några genomgripande förändringar och att det därför inte finns behov av att förankra ställningstagandet bland medborgarna genom en folkomröstning. Bara det faktum att det nu talas om en konstitution – även om den ibland kallas konstitutionellt fördrag – borde leda till viss eftertanke.,GS0998,
C,2007,politiska eliten,politiska eliten,En del hoppas uppenbarligen kunna övertala Frankrike och Nederländerna att säga ja till samma grundlag som deras väljare så entydigt har röstat nej till. En sådan maktarrogans fördjupar klyftan mellan medborgarna och den politiska eliten. Herr talman!,GU0970,
C,2009,etablissemanget,etablissemanget,"Hur kan det bli så här? Jag tror att en av förklaringarna är, om jag får använda uttrycket, att EU-etablissemanget inte visar folket respekt. Man gör inte det genom att inte ta bort klåfingrighet och detaljreglering som vi ser övernog av.",GW0983,
C,2014,maktens korridorer,maktens korridorer,"Miljöpartiet är ett parti för storstaden, bara för storstaden. Man väljer bort det övriga landet när man nu har tagit plats i maktens korridorer. På mindre än en månad har Miljöpartiets regeringsföreträdare hunnit med att föreslå en världsunik skatt på böndernas gödsel, en kilometerskatt – alltså en skatt på avstånd – och nedläggning av Bromma flygplats, som ju är ett nav för orter som Kalmar, Sundsvall, Östersund och Åre.",H20913,
C,2014,maktens korridorer,maktens korridorer,"Miljöpartiet är ett parti för storstaden, bara för storstaden. Man väljer bort det övriga landet när man nu har tagit plats i maktens korridorer. På mindre än en månad har Miljöpartiets regeringsföreträdare hunnit med att föreslå en världsunik skatt på böndernas gödsel, en kilometerskatt – alltså en skatt på avstånd – och nedläggning av Bromma flygplats, som ju är ett nav för orter som Kalmar, Sundsvall, Östersund och Åre.",H20913,
C,2021,maktens korridorer,maktens korridorer,"Vi skapade en partsöverenskommelse som hela arbetsmarknaden står bakom. Vi tog Sverige genom krisen tillsammans med regeringen och håller till denna dag Sverigedemokraterna borta från maktens korridorer. Det gör vi när så många andra, inklusive ni själva, gång på gång röstat med dem och i praktiken förhandlat med dem.",H90933,
C,2022,maktens korridorer,maktens korridorer,Då måste vi orka stå upp mot rasism och främlingsfientlighet. Vi måste vägra låta rasismen få ett fotfäste i maktens korridorer. Då måste vi se till att hela Sverige behövs och kan bidra.,H909126,
C,2023,etablissemanget,etablissemanget,Det tycker jag är märkligt. Sverigedemokraterna brukar ju prata om att stå på den lilla människans sida mot makten och etablissemanget. För mig handlar detta om att medborgare ska få möjlighet att granska makten.,HA0951,
C,2024,etablissemanget,etablissemanget,"Efter TV4:s avslöjande om Sverigedemokraternas trollfabrik höll Jimmie Åkesson ett tal på Youtube där han förklarade sin syn på det hela. I talet slog han fast att granskningen av SD inte enbart var ett redaktionellt beslut av Kalla fakta utan en del av en gigantisk påverkansoperation från det vänsterliberala etablissemanget. Det är klassiskt för den sortens konspirationsteorier som syftar till att undergräva förtroendet för medierna, för myndigheterna och för de politiska partierna.",HB09120,
C,2024,etablissemanget,etablissemanget,Det är förstås mycket allvarligt att fria och oberoende medier hotas för att de gör sitt jobb och avslöjar och granskar sådant som makthavare i ett parti med avgörande inflytande över regeringen försöker att dölja. I samband med avslöjandet kallade Sverigedemokraternas partiledare Jimmie Åkesson denna granskning för en gigantisk påverkansoperation styrd av det vänsterliberala etablissemanget. Det är uppenbart att det finns en stark koppling mellan den här sortens uttalanden och det som nu utspelar sig.,HB09120,
C,2024,maktens korridorer,maktens korridorer,"Vi skulle presentera oss för varandra. Jag sa vid det mötet till Annie Lööf att över min döda kropp skulle rasister komma in i maktens korridorer i Rosenbad. Det är ett uttalande jag står för, stolt och rakryggat.",HC0947,
KD,2004,politiska etablissemanget,politiska etablissemanget,"Krister Örnfjäder ska inte behöva be mig mer än den här gången. Jag ska också följa det här, för det är en oerhört viktig fråga för alla oss i det politiska etablissemanget. Många människor hemma i Kalmar län ser oss politiker som en enda samling personer som fattar beslut.",GR0994,
KD,2004,maktens korridorer,maktens korridorer,"Vi har precis kommit i gång. Jag tyckte att det var bekymmersamt att jag förra året när riksmötet öppnade på hösten tvingades höra att statsministern, som ändå har varit länge i maktens korridorer, inte nämnde ordet kultur när han läste upp regeringsförklaringen för oss. Det var väl någonting som Annika Nilsson också var minst lika upprörd över, måste jag utgå från, även om jag inte hörde det på samma sätt som i dag.",GS0944,
KD,2005,politiska etablissemanget,politiska etablissemanget,"Men det finns vissa områden, och jag tycker den fråga som vi har diskuterat här i dag gäller ett sådant område, där det skulle vara en oerhörd styrka om vi som politiska partier kunde ha en gemensam syn som är bra för vårt land och för den rättssäkerhet som vi alla värnar om och som är bra för den människosyn som vi alla står bakom. Därför beklagar jag att regeringen valt en annan väg – att gå på kollisionskurs med det politiska etablissemanget, valt att mörka, valt att inte vilja ta en öppen debatt så som vi hade önskat. Det tycker jag är det bestående intrycket, som jag tycker tyvärr består även efter debatten här i dag.",GS0964,
KD,2005,politiska eliten,politiska eliten,Ändå negligeras detta av makthavarna. Klyftan mellan de vanliga människorna och den politiska eliten i Stockholm växer. Herr talman!,GT0946,
KD,2006,makteliten,makteliten,"Värden som demokrati och mänskliga rättigheter förvägras egna medborgare, och regimerna ger tydliga signaler om att dessa värden inte är något för deras medborgare. Sanningen är naturligtvis att medborgarna förvägras medborgerliga rättigheter för att makteliten ska kunna behålla just makten. Herr talman!",GT0973,
KD,2006,politiska etablissemanget,politiska etablissemanget,"Sjöfartsfrågor Sjöfartsfrågor Trots alla motsägelsefulla turer, först om bärgning av fartyget, sedan om betongingjutning, bärgning av kropparna, dykförbud och så vidare, har nu till sist ändå, tycks det, myndigheternas fruktansvärda dementiapparat rämnat. Alla de konspirationsteorier som nu kommer att få fritt spelrum blir omöjliga att hantera för det politiska etablissemanget. Bara en helt oberoende utredning där samtliga inblandade stater hålls utanför kan förhoppningsvis återställa förtroendet hos medborgarna.",GT09112,
KD,2006,maktens korridorer,maktens korridorer,Det är en oerhört angelägen sak därför att det här är någonting som föräldrar ska kunna bestämma vid köksborden. Det är ingenting som ska bestämmas här i Stockholm i maktens korridorer.,GU0913,
KD,2009,politiska etablissemanget,politiska etablissemanget,"Det politiskt korrekta är viktigare än att lyssna till det som är medlemmarnas önskemål. Det är förödande, och det skapar en avgrund i tilltron till det politiska etablissemanget och till oss som företräder våra väljare. Jag skulle vilja vädja till samtliga riksdagskolleger i dag.",GW0995,
KD,2017,politiska etablissemanget,politiska etablissemanget,"Det här med El Sistema är något som kommer underifrån. Det är knappast något som kommer från det politiska etablissemanget. Jag tycker att ni ska tänka om när det gäller fritidspengen, för den kommer att återinföras – jag är övertygad om det – när alliansregeringen får återta makten 2018.",H40984,
KD,2018,politiska etablissemanget,politiska etablissemanget,Vi måste se verkligheten med deras ögon. Jag tror att det som göder populism är om det politiska etablissemanget inte ser den verklighet som många människor lever i och oroar sig över. Isabella Lövin säger i DN att det är en kapplöpning om fler poliser.,H50956,
KD,2018,maktens korridorer,maktens korridorer,"Detta gör mig bekymrad. Jag tycker att ni har misslyckats med att lösa det här problemet, som i stället har tilltagit under er tid i maktens korridorer. Jag blir också orolig när Socialstyrelsen nu larmar om att det råder stor brist på kompetens och kunskap om demenssjukdomar inom hemtjänsten.",H50998,
L,2005,makteliten,makteliten,"Att bevisa detta oberoende kommer naturligtvis inte att bli lättare med en av statsministerns, tills nyligen, närmsta medarbetare som ordförande. Engqvist kan inte stå fri från den politiska makteliten. Han är en del av den.",GS09100,
L,2006,etablissemanget,etablissemanget,Den insats som Sverige i dag har byggdes upp av den förra regeringen. Och i samband med en interpellationsdebatt för någon vecka sedan hörde jag utrikesministern öppna upp för att man ska göra en översyn av det svenska etablissemanget i Afghanistan. Det är väl också en uppgift för försvarsministern att fundera över.,GU0923,
L,2008,politiska eliten,politiska eliten,De stora politiska partierna i Ryssland i dag är mestadels skapade uppifrån. De kan i praktiken betraktas som valfordon för den politiska eliten. Folkpartiets socialliberala systerparti Jabloko är väldigt utsatt.,GV09106,
L,2008,etablissemanget,etablissemanget,"Dessutom har, som Mats Pertoft kanske vet, granskningen i radioprogrammet Kris i skolan av vad Sveriges forskare tycker sågats av en annan granskning. Det pedagogiska etablissemanget i Sverige har tillsammans med Miljöpartiet, Socialdemokraterna och Vänstern stått bakom utvecklingen av den svenska flumskolan. Många av dem är mycket kritiska till det vi gör, men jag tycker att de och ni har haft fel, eftersom resultaten har försämrats till följd av den politik ni har fört.",GW096,
