pattern,slot,subtype,source,exclude_next,note
svenska folket,ingroup,folk,mudde_adapted,,"Kept for the CONSTRUCTION only. Audit: as a bare hit it is usually just 'the electorate' (»svenska folket tror mer på alliansregeringen«) — referential, not people-centrist."
det svenska folket,ingroup,folk,mudde_adapted,,Same caveat as above.
vanligt folk,ingroup,folk,mudde_adapted,,"Construction half. Stronger than 'svenska folket' but still referential alone."
vanliga människor,ingroup,folk,mudde_adapted,,Construction half.
vanliga svenskar,ingroup,folk,mudde_adapted,,Construction half.
vi svenskar,ingroup,folk,mudde_adapted,,Explicit national in-group.
folkflertalet,ingroup,folk,own,,People-centrism (older register).
vi arbetare,ingroup,folk,own,,Class in-group; the left-side mirror of vi svenskar.
etablissemanget,outgroup,elite,rooduijn_pauwels_adapted,,"Anti-elitism. Audit: reads clean, though EU-/WTO-etablissemanget also occurs."
politiska etablissemanget,outgroup,elite,rooduijn_pauwels_adapted,,Anti-elitism.
politiska eliten,outgroup,elite,rooduijn_pauwels_adapted,,"Qualified: bare 'eliten' also means a top tier (research/sport) and was cut."
ekonomiska eliten,outgroup,elite,rooduijn_pauwels_adapted,,Qualified elite reference.
makteliten,outgroup,elite,rooduijn_pauwels_adapted,,Anti-elitism.
politikerklassen,outgroup,elite,rooduijn_pauwels_adapted,,Anti-elitism. Zero corpus hits — kept as a documented null.
politikeradeln,outgroup,elite,own,,Anti-elitism.
de rika,outgroup,economic,own,länderna|länder|delarna|regionerna,"Class-conflict framing. exclude_next: 'de rika länderna' is about countries."
de rikaste,outgroup,economic,own,länderna|länder|delarna|regionerna|procenten,"Audit caught »Sverige är inte längre ett av de rikaste länderna« (M) — countries, not people."
de allra rikaste,outgroup,economic,own,länderna|länder,Class-conflict framing.
miljardärerna,outgroup,economic,own,,Class-conflict framing.
miljonärerna,outgroup,economic,own,,Class-conflict framing.
kapitalägarna,outgroup,economic,own,,Class-conflict framing.
direktörerna,outgroup,economic,own,,Class-conflict framing.
riskkapitalisterna,outgroup,economic,own,,Class-conflict framing.
de som kommer hit,outgroup,origin,own,,"Origin-defined out-group. Audit: used neutrally/sympathetically on its own (»De som kommer hit ska ges möjlighet att vara med och bygga landet« — V). Counts only inside a construction."
dem som kommer hit,outgroup,origin,own,,Same caveat.
folk som kommer hit,outgroup,origin,own,,Same caveat.
de som inte är svenskar,outgroup,origin,own,,Origin-defined out-group.
invandrarna,outgroup,origin,own,,"Referential in most uses. Counts only inside a construction."
utlänningarna,outgroup,origin,own,,Same caveat.
